,hashtags,id,name,screen_name,hashtags_count
450,BreastCancerAwareness,26475943,A24 Media,a24media,6
451,BriaCity,26475943,A24 Media,a24media,1
452,British,26475943,A24 Media,a24media,1
453,Buhari,26475943,A24 Media,a24media,1
454,Building,26475943,A24 Media,a24media,1
455,BurkinaFaso,26475943,A24 Media,a24media,3
456,Burundi,26475943,A24 Media,a24media,4
457,Bushmeat,26475943,A24 Media,a24media,1
458,By2030,26475943,A24 Media,a24media,1
459,CAR,26475943,A24 Media,a24media,1
460,CORRUPTION,26475943,A24 Media,a24media,1
461,COVID19,26475943,A24 Media,a24media,7
462,COVIDー19,26475943,A24 Media,a24media,1
463,CaboVerde,26475943,A24 Media,a24media,1
464,Cairo,26475943,A24 Media,a24media,1
465,Cameroon,26475943,A24 Media,a24media,5
466,Canaan,26475943,A24 Media,a24media,1
467,CanadaGovernment,26475943,A24 Media,a24media,1
468,Cancer,26475943,A24 Media,a24media,1
